"","n","alpha","maxdepth_factor_screen","maxdepth_factor_select","MSE","Fuzzy","model"
"158",200,0.05,0.08,0.3,56.476326169398,FALSE,"Longtree"
"159",200,0.05,0.08,0.5,81.1318254974656,TRUE,"Longtree"
"160",200,0.05,0.08,0.5,54.4877231134249,FALSE,"Longtree"
"161",200,0.05,0.08,0.7,41.1748748079679,TRUE,"Longtree"
"162",200,0.05,0.08,0.7,40.8053017357469,FALSE,"Longtree"
"163",200,0.05,0.2,0.3,102.924604876978,TRUE,"Longtree"
"164",200,0.05,0.2,0.3,56.476326169398,FALSE,"Longtree"
"165",200,0.05,0.2,0.5,81.1318254974656,TRUE,"Longtree"
"166",200,0.05,0.2,0.5,54.4877231134249,FALSE,"Longtree"
"167",200,0.05,0.2,0.7,41.1748748079679,TRUE,"Longtree"
"168",200,0.05,0.2,0.7,40.8053017357469,FALSE,"Longtree"
"169",200,0.1,0.02,0.3,102.924604876978,TRUE,"Longtree"
"170",200,0.1,0.02,0.3,127.826832147095,FALSE,"Longtree"
"171",200,0.1,0.02,0.5,102.924604876978,TRUE,"Longtree"
"172",200,0.1,0.02,0.5,59.7324340238515,FALSE,"Longtree"
"173",200,0.1,0.02,0.7,81.1318254974656,TRUE,"Longtree"
"174",200,0.1,0.02,0.7,54.4877231134249,FALSE,"Longtree"
"175",200,0.1,0.04,0.3,81.1318254974656,TRUE,"Longtree"
"176",200,0.1,0.04,0.3,54.4877231134249,FALSE,"Longtree"
"177",200,0.1,0.04,0.5,41.3529156609842,TRUE,"Longtree"
"178",200,0.1,0.04,0.5,41.3529156609842,FALSE,"Longtree"
"179",200,0.1,0.04,0.7,40.8090976507006,TRUE,"Longtree"
"180",200,0.1,0.04,0.7,40.9219748063848,FALSE,"Longtree"
"181",200,0.1,0.08,0.3,81.1318254974656,TRUE,"Longtree"
"182",200,0.1,0.08,0.3,54.4877231134249,FALSE,"Longtree"
"183",200,0.1,0.08,0.5,41.6939554358482,TRUE,"Longtree"
"184",200,0.1,0.08,0.5,41.3529156609842,FALSE,"Longtree"
"185",200,0.1,0.08,0.7,40.8090976507006,TRUE,"Longtree"
"186",200,0.1,0.08,0.7,40.9219748063848,FALSE,"Longtree"
"187",200,0.1,0.2,0.3,81.1318254974656,TRUE,"Longtree"
"188",200,0.1,0.2,0.3,54.4877231134249,FALSE,"Longtree"
"189",200,0.1,0.2,0.5,41.6939554358482,TRUE,"Longtree"
"190",200,0.1,0.2,0.5,41.3529156609842,FALSE,"Longtree"
"191",200,0.1,0.2,0.7,40.8090976507006,TRUE,"Longtree"
"192",200,0.1,0.2,0.7,40.9219748063848,FALSE,"Longtree"
"193",200,0.2,0.02,0.3,102.924604876978,TRUE,"Longtree"
"194",200,0.2,0.02,0.3,127.826832147095,FALSE,"Longtree"
"195",200,0.2,0.02,0.5,102.924604876978,TRUE,"Longtree"
"196",200,0.2,0.02,0.5,59.7324340238515,FALSE,"Longtree"
"197",200,0.2,0.02,0.7,81.1318254974656,TRUE,"Longtree"
"198",200,0.2,0.02,0.7,55.4039864523754,FALSE,"Longtree"
"199",200,0.2,0.04,0.3,81.1318254974656,TRUE,"Longtree"
"200",200,0.2,0.04,0.3,54.6508016494466,FALSE,"Longtree"
"201",200,0.2,0.04,0.5,41.2544674142427,TRUE,"Longtree"
"202",200,0.2,0.04,0.5,41.3529156609842,FALSE,"Longtree"
"203",200,0.2,0.04,0.7,41.2746775169244,TRUE,"Longtree"
"204",200,0.2,0.04,0.7,40.9219748063848,FALSE,"Longtree"
"205",200,0.2,0.08,0.3,81.1318254974656,TRUE,"Longtree"
"206",200,0.2,0.08,0.3,54.6508016494466,FALSE,"Longtree"
"207",200,0.2,0.08,0.5,41.2544674142427,TRUE,"Longtree"
"208",200,0.2,0.08,0.5,41.3529156609842,FALSE,"Longtree"
"209",200,0.2,0.08,0.7,41.2746775169244,TRUE,"Longtree"
"210",200,0.2,0.08,0.7,40.9219748063848,FALSE,"Longtree"
"211",200,0.2,0.2,0.3,81.1318254974656,TRUE,"Longtree"
"212",200,0.2,0.2,0.3,54.6508016494466,FALSE,"Longtree"
"213",200,0.2,0.2,0.5,41.2544674142427,TRUE,"Longtree"
"214",200,0.2,0.2,0.5,41.3529156609842,FALSE,"Longtree"
"215",200,0.2,0.2,0.7,41.2746775169244,TRUE,"Longtree"
"216",200,0.2,0.2,0.7,40.9219748063848,FALSE,"Longtree"
"217",200,0.3,0.02,0.3,102.924604876978,TRUE,"Longtree"
"218",200,0.3,0.02,0.3,127.826832147095,FALSE,"Longtree"
"219",200,0.3,0.02,0.5,102.924604876978,TRUE,"Longtree"
"220",200,0.3,0.02,0.5,59.7324340238515,FALSE,"Longtree"
"221",200,0.3,0.02,0.7,81.1318254974656,TRUE,"Longtree"
"222",200,0.3,0.02,0.7,54.8703376878615,FALSE,"Longtree"
"223",200,0.3,0.04,0.3,81.1318254974656,TRUE,"Longtree"
"224",200,0.3,0.04,0.3,55.2977229244145,FALSE,"Longtree"
"225",200,0.3,0.04,0.5,41.3842086229502,TRUE,"Longtree"
"226",200,0.3,0.04,0.5,41.8573709151051,FALSE,"Longtree"
"227",200,0.3,0.04,0.7,41.2746775169244,TRUE,"Longtree"
"228",200,0.3,0.04,0.7,41.7152078857412,FALSE,"Longtree"
"229",200,0.3,0.08,0.3,41.9408929895907,TRUE,"Longtree"
"230",200,0.3,0.08,0.3,55.2977229244145,FALSE,"Longtree"
"231",200,0.3,0.08,0.5,41.2746775169244,TRUE,"Longtree"
"232",200,0.3,0.08,0.5,41.8573709151051,FALSE,"Longtree"
"233",200,0.3,0.08,0.7,41.2746775169244,TRUE,"Longtree"
"234",200,0.3,0.08,0.7,41.7152078857412,FALSE,"Longtree"
"235",200,0.3,0.2,0.3,41.9408929895907,TRUE,"Longtree"
"236",200,0.3,0.2,0.3,55.2977229244145,FALSE,"Longtree"
"237",200,0.3,0.2,0.5,41.2746775169244,TRUE,"Longtree"
"238",200,0.3,0.2,0.5,41.8573709151051,FALSE,"Longtree"
